Att8Act,Att8Diff,EngEst,EngAct,EngDiff,MathsEst,MathsAct,MathsDiff,EbaccEst,EbaccDiff,Att8EstSQRT,EbaccActSQRT
6.6,0.06,6.5,5.5,-1.02,6.7,7,0.3,6.4,0.61,2.5495097567963922,2.6457513110645907
4.7,0.83,4.3,5.5,1.19,3.8,4,0.19,3.1,-0.78,1.9748417658131499,1.51657508881031
1.6,0.09,2,2,0.01,1.1,0,-1.05,0.7,-0.68,1.224744871391589,0
2,-0.57,3.1,2,-1.11,2.4,3,0.6,1.4,-1.45,1.5811388300841898,0
4.6,-1.81,6.5,4,-2.5,6.5,5.5,-1.01,6.3,-1.76,2.5298221281347035,2.1213203435596424
4,-0.14,4.6,3,-1.56,4.1,7,2.91,3.5,-0.81,2.0248456731316584,1.6431676725154984
4.5,-0.41,5.3,5.5,0.24,4.8,4,-0.85,4.5,-0.51,2.2135943621178655,2
2.8,-2.18,5.3,3,-2.26,4.8,4,-0.85,4.5,-4.01,2.2135943621178655,0.7071067811865476
4.7,0.56,4.6,5.5,0.94,4.1,4,-0.09,3.5,-0.15,2.0248456731316584,1.816590212458495
3.4,-0.52,4.3,4,-0.31,3.8,3,-0.81,3.1,-1.11,1.9748417658131499,1.4142135623730951
4.1,0.91,3.6,3,-0.64,3.1,4,0.87,2.2,1.16,1.760681686165901,1.816590212458495
3.3,-1.15,4.8,4,-0.8,4.3,3,-1.3,3.8,-3.16,2.0976176963403033,0.8366600265340756
1.3,-2.43,4.2,2,-2.16,3.7,0,-3.68,2.9,-2.25,1.9235384061671346,0.8366600265340756
2.8,-1.07,4.3,3,-1.31,3.8,3,-0.81,3.1,-1.11,1.9748417658131499,1.4142135623730951
2.2,-0.61,3.4,2,-1.37,2.8,3,0.24,1.8,-1.43,1.6733200530681511,0.5477225575051661
3.9,0.71,3.6,4,0.36,3.1,4,0.87,2.2,-0.18,1.760681686165901,1.4142135623730951
2.3,-0.89,3.6,2,-1.64,3.1,3,-0.13,2.2,-1.01,1.760681686165901,1.0954451150103321
4.6,0.41,4.6,5.5,0.94,4.1,4,-0.09,3.5,-0.65,2.0248456731316584,1.6733200530681511
4.5,0.31,4.6,4,-0.56,4.1,4,-0.09,3.5,-0.48,2.0248456731316584,1.7320508075688772
4.9,0.45,4.8,5.5,0.7,4.3,5.5,1.2,3.8,-1.49,2.0976176963403033,1.51657508881031
4.2,-0.78,5.3,4,-1.26,4.8,7,2.15,4.5,-1.85,2.2135943621178655,1.6431676725154984
5.8,2.29,4,5.5,1.51,3.5,5.5,2.01,2.6,2.36,1.8708286933869707,2.23606797749979
0.8,-0.71,2,1.5,-0.49,1.1,0,-1.05,0.7,-0.68,1.224744871391589,0
6.9,2.2,5,7,1.99,4.6,7,2.43,4.2,1.85,2.16794833886788,2.449489742783178
5.8,-0.69,6.5,7,0.48,6.7,5.5,-1.2,6.4,-1.89,2.5495097567963922,2.1213203435596424
4.4,0.21,4.6,5.5,0.94,4.1,3,-1.09,3.5,-0.15,2.0248456731316584,1.816590212458495
2.3,-0.09,2.9,2,-0.93,2.2,3,0.8,1.3,-1.27,1.5491933384829668,0
2.8,0.38,2.9,3,0.07,2.2,3,0.8,1.3,-0.61,1.5491933384829668,0.8366600265340756
0.4,-1.86,2.8,1,-1.82,2,0,-2.02,1.2,-1.16,1.4832396974191326,0
2.5,-1.26,4.2,2,-2.16,3.7,4,0.32,2.9,-2.25,1.9235384061671346,0.8366600265340756
3,0.02,3.5,4,0.54,2.9,4,1.13,1.9,-1.91,1.70293863659264,0
3.5,0.52,3.5,2,-1.46,2.9,4,1.13,1.9,0.59,1.70293863659264,1.5811388300841898
4.1,1.17,3.5,4,0.54,2.9,4,1.13,1.9,0.43,1.70293863659264,1.51657508881031
3.6,-0.16,4.2,4,-0.16,3.7,4,0.32,2.9,-0.91,1.9235384061671346,1.4142135623730951
3.8,-1.76,5.7,3,-2.73,5.5,5.5,-0.02,5.2,-2.55,2.345207879911715,1.6431676725154984
1.8,-0.22,2.6,2,-0.61,1.8,2,0.24,1,-0.97,1.4142135623730951,0
3.2,-0.72,4.3,3,-1.31,3.8,3,-0.81,3.1,-2.11,1.9748417658131499,1
4.9,-2.42,7.2,7,-0.21,7.5,3,-4.51,7.3,-4.27,2.701851217221259,1.7320508075688772
3.6,0.41,3.6,4,0.36,3.1,4,0.87,2.2,-0.18,1.760681686165901,1.4142135623730951
4.7,-1.79,6.5,4,-2.52,6.7,5.5,-1.2,6.4,-4.05,2.5495097567963922,1.51657508881031
5.7,0.61,5.4,5.5,0.13,5,8.5,3.46,4.7,-1.03,2.258317958127243,1.9235384061671346
2.2,-0.04,2.8,2,-0.82,2,3,0.98,1.2,-1.16,1.4832396974191326,0
0,-2.81,3.4,0,-3.37,2.8,0,-2.76,1.8,-1.76,1.6733200530681511,0
4.5,-0.64,5.4,7,1.63,5,4,-1.04,4.7,-2.7,2.258317958127243,1.4142135623730951
3.2,-0.31,4,5.5,1.51,3.5,3,-0.49,2.6,-2.64,1.8708286933869707,0
3,-1.19,4.6,4,-0.56,4.1,4,-0.09,3.5,-2.98,2.0248456731316584,0.7071067811865476
3,0.48,3.1,2,-1.11,2.4,4,1.6,1.4,-0.45,1.5811388300841898,1
1.9,-0.47,2.9,2,-0.93,2.2,2,-0.2,1.3,-1.27,1.5491933384829668,0
0.9,-0.63,2,1,-0.99,1.1,0,-1.05,0.7,-0.68,1.224744871391589,0
3.4,0.56,3.4,4,0.63,2.8,2,-0.76,1.8,0.24,1.6733200530681511,1.4142135623730951
4,-0.4,4.8,5.5,0.7,4.3,4,-0.3,3.8,-1.83,2.0976176963403033,1.4142135623730951
2.4,-2.53,5.3,3,-2.26,4.8,3,-1.85,4.5,-3.51,2.2135943621178655,1
4.2,1.06,3.6,4,0.36,3.1,5.5,2.37,2.2,0.49,1.760681686165901,1.6431676725154984
1.4,-0.14,2.1,1.5,-0.61,1.1,2,0.88,0.7,-0.66,1.2649110640673518,0
5,0.3,5,4,-1.01,4.6,7,2.43,4.2,-0.49,2.16794833886788,1.9235384061671346
4.5,-1.01,5.7,4,-1.73,5.5,7,1.48,5.2,-2.55,2.345207879911715,1.6431676725154984
1.8,-0.08,2.5,1.5,-1,1.6,2,0.43,0.9,-0.52,1.378404875209022,0.5477225575051661
3.7,0.99,3.2,4,0.77,2.6,3,0.42,1.6,-0.09,1.6431676725154984,1.224744871391589
3.2,-0.99,4.6,4,-0.56,4.1,3,-1.09,3.5,-1.81,2.0248456731316584,1.3038404810405297
5.8,-0.61,6.5,7,0.5,6.5,5.5,-1.01,6.3,-1.26,2.5298221281347035,2.23606797749979
5.2,0.22,5.3,8.5,3.24,4.8,3,-1.85,4.5,-1.51,2.2135943621178655,1.7320508075688772
5.7,-0.16,6,5.5,-0.47,5.9,4,-1.87,5.6,-0.08,2.4083189157584592,2.345207879911715
2.3,-1.21,4,2,-1.99,3.5,3,-0.49,2.6,-1.97,1.8708286933869707,0.8366600265340756
